Timestamp,Ambient_Temp,Cargo_Temp,Route_ID,Carrier,Packaging_Type,Product_Type,Transit_Time_Estimated,Delay_Flag
2025-03-13T00:00:00,24.440599409765397,5.637804369378767,PTY-COC,GLOBAL_CARGO_X,PCM,ColdChain,2025-03-13T05:00:00,0
2025-03-13T00:10:00,37.896064077536955,6.534869458305818,PTY-COC,GLOBAL_CARGO_X,PCM,ColdChain,2025-03-13T05:00:00,1
2025-03-13T00:20:00,27.095609329882425,3.9496603856437043,PTY-COC,GLOBAL_CARGO_X,PCM,ColdChain,2025-03-13T05:00:00,0
2025-03-13T00:30:00,31.20981135783017,1.1734395106844042,PTY-COC,GLOBAL_CARGO_X,PCM,ColdChain,2025-03-13T05:00:00,0
2025-03-13T00:40:00,34.082225404756635,1.9522480047682782,PTY-COC,GLOBAL_CARGO_X,PCM,ColdChain,2025-03-13T05:00:00,0
2025-03-13T00:50:00,25.459879622393945,2.175392597329417,PTY-COC,GLOBAL_CARGO_X,PCM,ColdChain,2025-03-13T05:00:00,0
2025-03-13T01:00:00,26.852625195378746,6.195440933825217,PTY-COC,GLOBAL_CARGO_X,PCM,ColdChain,2025-03-13T05:00:00,0
2025-03-13T01:10:00,27.278086377374088,5.2218451794197325,PTY-COC,GLOBAL_CARGO_X,PCM,ColdChain,2025-03-13T05:00:00,0
2025-03-13T01:20:00,26.99873074947044,6.894879642093278,PTY-COC,GLOBAL_CARGO_X,PCM,ColdChain,2025-03-13T05:00:00,1
2025-03-13T01:30:00,26.991466938853016,8.704556369017876,PTY-COC,GLOBAL_CARGO_X,PCM,ColdChain,2025-03-13T05:00:00,0
2025-03-13T01:40:00,27.331755980787566,4.9889442753597475,PTY-COC,GLOBAL_CARGO_X,PCM,ColdChain,2025-03-13T05:00:00,0
2025-03-13T01:50:00,34.11272456051594,2.5583127000579555,PTY-COC,GLOBAL_CARGO_X,PCM,ColdChain,2025-03-13T05:00:00,0
2025-11-06T00:00:00,19.108328765881456,2.91220718353033,PTY-CHI,DHL_PHARMA,Active,Ambient,2025-11-06T05:00:00,0
2025-11-06T00:10:00,25.464067099263026,7.3772514528612225,PTY-CHI,DHL_PHARMA,Active,Ambient,2025-11-06T05:00:00,0
2025-11-06T00:20:00,32.822321192775675,5.051001336162697,PTY-CHI,DHL_PHARMA,Active,Ambient,2025-11-06T05:00:00,0
2025-11-06T00:30:00,31.31743020115105,8.283542232028152,PTY-CHI,DHL_PHARMA,Active,Ambient,2025-11-06T05:00:00,0
2025-11-06T00:40:00,30.48208239515129,5.838204211195286,PTY-CHI,DHL_PHARMA,Active,Ambient,2025-11-06T05:00:00,0
2025-11-06T00:50:00,25.782900383203575,3.973349189205668,PTY-CHI,DHL_PHARMA,Active,Ambient,2025-11-06T05:00:00,1
2025-11-06T01:00:00,20.621616138967415,2.2664357222274045,PTY-CHI,DHL_PHARMA,Active,Ambient,2025-11-06T05:00:00,0
2025-11-06T01:10:00,34.65292200385551,6.355534819346683,PTY-CHI,DHL_PHARMA,Active,Ambient,2025-11-06T05:00:00,0
2025-11-06T01:20:00,31.057935061630083,6.194089292358152,PTY-CHI,DHL_PHARMA,Active,Ambient,2025-11-06T05:00:00,0
2025-11-06T01:30:00,29.158974559504575,7.329537291009048,PTY-CHI,DHL_PHARMA,Active,Ambient,2025-11-06T05:00:00,1
2025-11-06T01:40:00,37.34470642716196,2.7522033309199267,PTY-CHI,DHL_PHARMA,Active,Ambient,2025-11-06T05:00:00,0
2025-11-06T01:50:00,22.129223565279727,6.275905886449779,PTY-CHI,DHL_PHARMA,Active,Ambient,2025-11-06T05:00:00,0
2025-05-11T00:00:00,31.80697802754207,8.076073132931938,PTY-COC,GLOBAL_CARGO_X,PCM,Ambient,2025-05-11T05:00:00,0
2025-05-11T00:10:00,46.86148126813336,3.1592183898652486,PTY-COC,GLOBAL_CARGO_X,PCM,Ambient,2025-05-11T05:00:00,0
2025-05-11T00:20:00,30.435235341190857,4.401985299068265,PTY-COC,GLOBAL_CARGO_X,PCM,Ambient,2025-05-11T05:00:00,0
2025-05-11T00:30:00,34.51766245312921,5.0380006621243,PTY-COC,GLOBAL_CARGO_X,PCM,Ambient,2025-05-11T05:00:00,0
2025-05-11T00:40:00,37.38947022370758,3.9634595634527052,PTY-COC,GLOBAL_CARGO_X,PCM,Ambient,2025-05-11T05:00:00,0
2025-05-11T00:50:00,28.939192891441866,4.146262411920555,PTY-COC,GLOBAL_CARGO_X,PCM,Ambient,2025-05-11T05:00:00,0
2025-05-11T01:00:00,34.57701058851037,5.657502219319369,PTY-COC,GLOBAL_CARGO_X,PCM,Ambient,2025-05-11T05:00:00,0
2025-05-11T01:10:00,36.859310667748886,5.3511065879096655,PTY-COC,GLOBAL_CARGO_X,PCM,Ambient,2025-05-11T05:00:00,0
2025-05-11T01:20:00,26.489734530613237,4.3446757068044635,PTY-COC,GLOBAL_CARGO_X,PCM,Ambient,2025-05-11T05:00:00,0
2025-05-11T01:30:00,36.36866810069778,4.41609465834876,PTY-COC,GLOBAL_CARGO_X,PCM,Ambient,2025-05-11T05:00:00,0
2025-05-11T01:40:00,30.025567283212304,4.530825733249706,PTY-COC,GLOBAL_CARGO_X,PCM,Ambient,2025-05-11T05:00:00,0
2025-05-11T01:50:00,28.022417742098533,4.421726287060116,PTY-COC,GLOBAL_CARGO_X,PCM,Ambient,2025-05-11T05:00:00,0
2025-04-06T00:00:00,19.54200165156368,7.527481061532773,PTY-COC,COLDLINE_EXPRESS,Active,Ambient,2025-04-06T05:00:00,1
2025-04-06T00:10:00,25.769914917721472,3.355021262439875,PTY-COC,COLDLINE_EXPRESS,Active,Ambient,2025-04-06T05:00:00,0
2025-04-06T00:20:00,26.20836439740879,5.914831297438285,PTY-COC,COLDLINE_EXPRESS,Active,Ambient,2025-04-06T05:00:00,0
2025-04-06T00:30:00,27.791169883869934,4.8316698296376455,PTY-COC,COLDLINE_EXPRESS,Active,Ambient,2025-04-06T05:00:00,0
2025-04-06T00:40:00,37.167577436449605,7.131587417098609,PTY-COC,COLDLINE_EXPRESS,Active,Ambient,2025-04-06T05:00:00,0
2025-04-06T00:50:00,39.825173819627324,1.1201775627935135,PTY-COC,COLDLINE_EXPRESS,Active,Ambient,2025-04-06T05:00:00,0
2025-04-06T01:00:00,28.928377583719037,3.6216115790715095,PTY-COC,COLDLINE_EXPRESS,Active,Ambient,2025-04-06T05:00:00,0
2025-04-06T01:10:00,29.31354498160365,7.802643129387249,PTY-COC,COLDLINE_EXPRESS,Active,Ambient,2025-04-06T05:00:00,0
2025-04-06T01:20:00,36.09025218878255,4.221083951393036,PTY-COC,COLDLINE_EXPRESS,Active,Ambient,2025-04-06T05:00:00,0
2025-04-06T01:30:00,30.14049731674101,2.6058258733233943,PTY-COC,COLDLINE_EXPRESS,Active,Ambient,2025-04-06T05:00:00,0
2025-04-06T01:40:00,27.917718182243124,6.715006503176225,PTY-COC,COLDLINE_EXPRESS,Active,Ambient,2025-04-06T05:00:00,0
